ACTUALNAME,DESTINATIONLOOKUP
KOTHAVALASA RAILWAY STATION,KOTHAVALASA RAILWAY STATION
KOTHURU ANAKAPALLE,KOTHURU ANAKAPALLE
KOTHURU JUNCTION,KOTHURU JUNCTION
KOTTA NAGAVARAM,KOTTA NAGAVARAM
KOTTHA YELLAVARAM,KOTTHA YELLAVARAM
KOTTURU,KOTTURU
KOVVADA,KOVVADA
KOYYALAPADU JUNCTION,KOYYALAPADU JUNCTION
KRANTHI NAGAR,KRANTHI NAGAR
KRISHNA COLLEGE ROAD,KRISHNA COLLEGE ROAD
KRISHNA NAGAR BHIMILI,KRISHNA NAGAR BHIMILI
KRISHNA PURAM,KRISHNA PURAM
KRISHNAMPURAM,KRISHNAMPURAM
KRISHNARAYA PURAM,KRISHNARAYA PURAM
KUMMAPALLE,KUMMAPALLE
KURMANNAPALEM - RTC COMPLEX,KURMANNAPALEM
KURMANNAPALEM BUS STATION,PURNA THEATRE (KURMANNAPALEM)
KURMANNAPALEM BUS STATION,KURMANNAPALEM
KURPAM MARKET,KURPAM MARKET
KURUPAM CIRCLE,KURUPAM CIRCLE
KURUVADA,KURUVADA
KURUVADA,KORUVADA
LAGISETTIPALEM,LAGISETTIPALEM
LAKSHMI TALKIES,LAKSHMI TALKIES
LAKSHMIPURAM VILLAGE,LAKSHMIPURAM VILLAGE
LANKAVANI PALEM,LANKAVANI PALEM
LANKELAPALEM (NORTH TOWARDS KANNURU),LANKELAPALEM
LANKELAPALEM (SOUTH TOWARDS PARAWADA),LANKELAPALEM
LAW COLLEGE,LAW COLLEGE
LAWSONS BAY,LAWSONS BAY
LAWSONS BAY (TOWARDS VUDA PARK),VASAVANIPALEM
LAWSONS BAY (TOWARDS VUDA PARK),LAWSONS BAY (TOWARDS VUDA PARK)
LAWSONS BAY (TOWARDS VUDA PARK),LAWSONS BAY
LEELA KRISHNA TOYOTA,LEELA KRISHNA TOYOTA
LEMARTHI,LEMARTHI
LENDI COLLEGE,LENDI COLLEGE
LEPAKSHI,LEPAKSHI
LEPAKSHI,JAGADAMBA 
LINGALA TIRUGUDU,LINGALA TIRUGUDU
LIONS CLUB (RAMNAGAR),RAMNAGAR
LIONS CLUB (RAMNAGAR),LIONS CLUB (RAMNAGAR)
